"","municipios","coords.lon","coords.lat","lon","lat","municipios2"
"225"," Uruapan, Michoacan De Ocampo",-102.04305,  19.40645,-102.06805,19.33145," Uruapan,
Michoacan De Ocampo"
"226"," Valladolid, Yucatan", -88.20225,  20.68964, -88.22725,20.61464," Valladolid,
Yucatan"
"227"," Valle De Chalco Solidaridad, Mexico", -98.93883,  19.29187, -98.96383,19.21687," Valle De Chalco Solidaridad,
Mexico"
"228"," Venustiano Carranza, Ciudad De Mexico", -99.09499,  19.43061, -99.11999,19.35561," Venustiano Carranza,
Ciudad De Mexico"
"229"," Venustiano Carranza, Puebla", -97.67120,  20.50778, -97.69620,20.43278," Venustiano Carranza,
Puebla"
"230"," Veracruz, Veracruz De Ignacio De La Llave", -96.13422,  19.17377, -96.15922,19.09877," Veracruz,
Veracruz De Ignacio De La Llave"
"231"," Vicente Guerrero, Puebla", -97.19713,  18.54220, -97.22213,18.46720," Vicente Guerrero,
Puebla"
"232"," Victoria, Tamaulipas", -99.14112,  23.73692, -99.16612,23.66192," Victoria,
Tamaulipas"
"233"," Villa De Cos, Zacatecas",-102.35000,  23.29436,-102.37500,23.21936," Villa De Cos,
Zacatecas"
"234"," Villa Sola De Vega, Oaxaca", -96.97947,  16.51162, -97.00447,16.43662," Villa Sola De Vega,
Oaxaca"
"235"," Villaflores, Chiapas", -93.27345,  16.23297, -93.29845,16.15797," Villaflores,
Chiapas"
"236"," Villagran, Guanajuato",-100.99483,  20.51341,-101.01983,20.43841," Villagran,
Guanajuato"
"237"," Xalapa, Veracruz De Ignacio De La Llave", -96.91018,  19.54378, -96.93518,19.46878," Xalapa,
Veracruz De Ignacio De La Llave"
"238"," Xicotepec, Puebla", -97.96426,  20.27862, -97.98926,20.20362," Xicotepec,
Puebla"
"239"," Xochimilco, Ciudad De Mexico", -99.10297,  19.25723, -99.12797,19.18223," Xochimilco,
Ciudad De Mexico"
"240"," Yahualica De Gonzalez Gallo, Jalisco",-102.88312,  21.17828,-102.90812,21.10328," Yahualica De Gonzalez Gallo,
Jalisco"
"241"," Yautepec, Morelos", -99.06264,  18.88916, -99.08764,18.81416," Yautepec,
Morelos"
"242"," Zacapoaxtla., Puebla", -97.58880,  19.87351, -97.61380,19.79851," Zacapoaxtla.,
Puebla"
"243"," Zacapu, Michoacan De Ocampo",-101.79567,  19.81251,-101.82067,19.73751," Zacapu,
Michoacan De Ocampo"
"244"," Zacatecas, Zacatecas",-102.58656,  22.76420,-102.61156,22.68920," Zacatecas,
Zacatecas"
"245"," Zacatlan, Puebla", -97.96115,  19.93508, -97.98615,19.86008," Zacatlan,
Puebla"
"246"," Zacualpan, Mexico", -99.77818,  18.71944, -99.80318,18.64444," Zacualpan,
Mexico"
"247"," Zamora, Michoacan De Ocampo",-102.28341,  19.99018,-102.30841,19.91518," Zamora,
Michoacan De Ocampo"
"248"," Zapopan, Jalisco",-103.41650,  20.67196,-103.44150,20.59696," Zapopan,
Jalisco"
"249"," Zapotlan El Grande, Jalisco",-103.46472,  19.70361,-103.48972,19.62861," Zapotlan El Grande,
Jalisco"
"250"," Zitacuaro, Michoacan De Ocampo",-100.35587,  19.43761,-100.38087,19.36261," Zitacuaro,
Michoacan De Ocampo"
"251","Guadalajara, Jalisco",-103.34961,  20.65970,-103.37461,20.58470,"Guadalajara,
Jalisco"
"252","Zapopan, Jalisco",-103.41650,  20.67196,-103.44150,20.59696,"Zapopan,
Jalisco"
