"","municipios","coords.lon","coords.lat","lon","lat","municipios2"
"52"," Cuauhtemoc, Ciudad De Mexico", -99.14951,  19.43563, -99.17451,19.36063," Cuauhtemoc,
Ciudad De Mexico"
"53"," Cuautitlan Izcalli, Mexico", -99.22314,  19.65281, -99.24814,19.57781," Cuautitlan Izcalli,
Mexico"
"54"," Cuautla, Morelos", -98.95483,  18.81260, -98.97983,18.73760," Cuautla,
Morelos"
"55"," Cuernavaca, Morelos", -99.22157,  18.92421, -99.24657,18.84921," Cuernavaca,
Morelos"
"56"," Cuetzalan Del Progreso, Puebla", -97.52337,  20.01764, -97.54837,19.94264," Cuetzalan Del Progreso,
Puebla"
"57"," Culiacan, Sinaloa",-107.39401,  24.80906,-107.41901,24.73406," Culiacan,
Sinaloa"
"58"," Doctor Arroyo, Nuevo Leon",-100.18151,  23.67227,-100.20651,23.59727," Doctor Arroyo,
Nuevo Leon"
"59"," Dolores Hidalgo, Guanajuato",-100.93672,  21.15160,-100.96172,21.07660," Dolores Hidalgo,
Guanajuato"
"60"," Durango, Durango",-104.65318,  24.02772,-104.67818,23.95272," Durango,
Durango"
"61"," Ecatepec De Morelos, Mexico", -99.03651,  19.60577, -99.06151,19.53077," Ecatepec De Morelos,
Mexico"
"62"," El Barrio De La Soledad, Oaxaca", -95.11153,  16.80132, -95.13653,16.72632," El Barrio De La Soledad,
Oaxaca"
"63"," El Oro, Mexico",-100.13392,  19.80075,-100.15892,19.72575," El Oro,
Mexico"
"64"," Emiliano Zapata, Morelos", -99.18437,  18.84786, -99.20937,18.77286," Emiliano Zapata,
Morelos"
"65"," Ensenada, Baja California",-116.59637,  31.86674,-116.62137,31.79174," Ensenada,
Baja California"
"66"," Fresnillo, Zacatecas",-102.86874,  23.17776,-102.89374,23.10276," Fresnillo,
Zacatecas"
"67"," Galeana, Nuevo Leon",-100.07737,  24.82546,-100.10237,24.75046," Galeana,
Nuevo Leon"
"68"," Garcia, Nuevo Leon",-100.58620,  25.80103,-100.61120,25.72603," Garcia,
Nuevo Leon"
"69"," General Escobedo, Nuevo Leon",-100.31221,  25.80022,-100.33721,25.72522," General Escobedo,
Nuevo Leon"
"70"," Guadalajara, Jalisco",-103.34961,  20.65970,-103.37461,20.58470," Guadalajara,
Jalisco"
"71"," Guadalupe, Nuevo Leon",-100.21551,  25.67483,-100.24051,25.59983," Guadalupe,
Nuevo Leon"
"72"," Guadalupe, Zacatecas",-102.51189,  22.75658,-102.53689,22.68158," Guadalupe,
Zacatecas"
"73"," Gustavo A. Madero, Ciudad De Mexico", -99.12361,  19.48733, -99.14861,19.41233," Gustavo A. Madero,
Ciudad De Mexico"
"74"," Hermosillo, Sonora",-110.95592,  29.07297,-110.98092,28.99797," Hermosillo,
Sonora"
"75"," Heroica Ciudad De Huajuapan De Leon, Oaxaca", -97.78035,  17.81125, -97.80535,17.73625," Heroica Ciudad De Huajuapan De Leon,
Oaxaca"
"76"," Huanimaro, Guanajuato",-101.49671,  20.36703,-101.52171,20.29203," Huanimaro,
Guanajuato"
"77"," Huauchinango, Puebla", -98.06289,  20.17570, -98.08789,20.10070," Huauchinango,
Puebla"
"78"," Huehuetoca, Mexico", -99.20375,  19.82773, -99.22875,19.75273," Huehuetoca,
Mexico"
"79"," Huejotzingo, Puebla", -98.40472,  19.15895, -98.42972,19.08395," Huejotzingo,
Puebla"
"80"," Huichapan, Hidalgo", -99.65084,  20.37867, -99.67584,20.30367," Huichapan,
Hidalgo"
"81"," Huixquilucan, Mexico", -99.34802,  19.35963, -99.37302,19.28463," Huixquilucan,
Mexico"
"82"," Huixtla, Chiapas", -92.46592,  15.13766, -92.49092,15.06266," Huixtla,
Chiapas"
"83"," Iguala De La Independencia, Guerrero", -99.53973,  18.34485, -99.56473,18.26985," Iguala De La Independencia,
Guerrero"
"84"," Irapuato, Guanajuato",-101.35450,  20.67867,-101.37950,20.60367," Irapuato,
Guanajuato"
"85"," Isla, Veracruz De Ignacio De La Llave", -95.52806,  18.02880, -95.55306,17.95380," Isla,
Veracruz De Ignacio De La Llave"
"86"," Ixhuatlan Del Sureste, Veracruz De Ignacio De La Llave", -94.39256,  18.02345, -94.41756,17.94845," Ixhuatlan Del Sureste,
Veracruz De Ignacio De La Llave"
"87"," Ixmiquilpan, Hidalgo", -99.21712,  20.48314, -99.24212,20.40814," Ixmiquilpan,
Hidalgo"
"88"," Ixtapaluca, Mexico", -98.90798,  19.30905, -98.93298,19.23405," Ixtapaluca,
Mexico"
"89"," Ixtlahuacan, Colima",-103.73642,  18.99957,-103.76142,18.92457," Ixtlahuacan,
Colima"
"90"," Iztapalapa, Ciudad De Mexico", -99.07989,  19.34671, -99.10489,19.27171," Iztapalapa,
Ciudad De Mexico"
"91"," Izucar De Matamoros, Puebla", -98.46779,  18.59912, -98.49279,18.52412," Izucar De Matamoros,
Puebla"
"92"," Jalpa, Zacatecas",-102.97786,  21.63743,-103.00286,21.56243," Jalpa,
Zacatecas"
"93"," Jaral Del Progreso, Guanajuato",-101.06835,  20.37355,-101.09335,20.29855," Jaral Del Progreso,
Guanajuato"
"94"," Jerez, Zacatecas",-102.98762,  22.64687,-103.01262,22.57187," Jerez,
Zacatecas"
"95"," Jojutla, Morelos", -99.17812,  18.61442, -99.20312,18.53942," Jojutla,
Morelos"
"96"," Jonacatepec, Morelos", -98.80045,  18.68686, -98.82545,18.61186," Jonacatepec,
Morelos"
"97"," Juarez, Chihuahua",-106.42455,  31.69036,-106.51477,31.68128," Juarez,
Chihuahua"
"98"," Juchipila, Zacatecas",-103.11755,  21.41191,-103.14255,21.33691," Juchipila,
Zacatecas"
"99"," La Magdalena Contreras, Ciudad De Mexico", -99.24259,  19.31496, -99.26759,19.23996," La Magdalena Contreras,
Ciudad De Mexico"
"100"," La Paz, Baja California Sur",-110.31275,  24.14264,-110.33775,24.06764," La Paz,
Baja California Sur"
"101"," La Paz, Mexico",-110.31275,  24.14264,-110.33775,24.06764," La Paz,
Mexico"
"102"," Las Choapas, Veracruz De Ignacio De La Llave", -94.09304,  17.91567, -94.11804,17.84067," Las Choapas,
Veracruz De Ignacio De La Llave"
"103"," Las Margaritas, Chiapas", -91.98795,  16.31547, -92.01295,16.24047," Las Margaritas,
Chiapas"
