"","Estado","Municipio","Grupo","Estimador","Poblacion"
"01_poblacion_ags.xls.1","01 Aguascalientes","Total","Total","Valor","1312544"
"01_poblacion_ags.xls.2","01 Aguascalientes","Aguascalientes","Total","Valor","877190"
"01_poblacion_ags.xls.3","01 Aguascalientes","Asientos","Total","Valor","46464"
"01_poblacion_ags.xls.4","01 Aguascalientes","Calvillo","Total","Valor","56048"
"01_poblacion_ags.xls.5","01 Aguascalientes","Cosio","Total","Valor","15577"
"01_poblacion_ags.xls.6","01 Aguascalientes","El Llano","Total","Valor","20245"
"01_poblacion_ags.xls.7","01 Aguascalientes","Jesus Maria","Total","Valor","120405"
"01_poblacion_ags.xls.8","01 Aguascalientes","Pabellon de Arteaga","Total","Valor","46473"
"01_poblacion_ags.xls.9","01 Aguascalientes","Rincon de Romos","Total","Valor","53866"
"01_poblacion_ags.xls.10","01 Aguascalientes","San Francisco de los Romo","Total","Valor","46454"
"01_poblacion_ags.xls.11","01 Aguascalientes","San Jose de Gracia","Total","Valor","8896"
"01_poblacion_ags.xls.12","01 Aguascalientes","Tepezala","Total","Valor","20926"
"01_poblacion_bc.xls.1","02 Baja California","Total","Total","Valor","3315766"
"01_poblacion_bc.xls.2","02 Baja California","Ensenada","Total","Valor","486639"
"01_poblacion_bc.xls.3","02 Baja California","Mexicali","Total","Valor","988417"
"01_poblacion_bc.xls.4","02 Baja California","Playas de Rosarito","Total","Valor","96734"
"01_poblacion_bc.xls.5","02 Baja California","Tecate","Total","Valor","102406"
"01_poblacion_bc.xls.6","02 Baja California","Tijuana","Total","Valor","1641570"
"01_poblacion_bcs.xls.1","03 Baja California Sur","Total","Total","Valor","712029"
"01_poblacion_bcs.xls.2","03 Baja California Sur","Comondu","Total","Valor","72564"
"01_poblacion_bcs.xls.3","03 Baja California Sur","La Paz","Total","Valor","272711"
"01_poblacion_bcs.xls.4","03 Baja California Sur","Loreto","Total","Valor","18912"
"01_poblacion_bcs.xls.5","03 Baja California Sur","Los Cabos","Total","Valor","287671"
"01_poblacion_bcs.xls.6","03 Baja California Sur","Mulege","Total","Valor","60171"
"01_poblacion_cam.xls.1","04 Campeche","Total","Total","Valor","899931"
"01_poblacion_cam.xls.2","04 Campeche","Calakmul","Total","Valor","28424"
"01_poblacion_cam.xls.3","04 Campeche","Calkini","Total","Valor","56537"
"01_poblacion_cam.xls.4","04 Campeche","Campeche","Total","Valor","283025"
"01_poblacion_cam.xls.5","04 Campeche","Candelaria","Total","Valor","43879"
"01_poblacion_cam.xls.6","04 Campeche","Carmen","Total","Valor","248303"
"01_poblacion_cam.xls.7","04 Campeche","Champoton","Total","Valor","90244"
"01_poblacion_cam.xls.8","04 Campeche","Escarcega","Total","Valor","58553"
"01_poblacion_cam.xls.9","04 Campeche","Hecelchakan","Total","Valor","31230"
"01_poblacion_cam.xls.10","04 Campeche","Hopelchen","Total","Valor","40100"
"01_poblacion_cam.xls.11","04 Campeche","Palizada","Total","Valor","8971"
"01_poblacion_cam.xls.12","04 Campeche","Tenabo","Total","Valor","10665"
"01_poblacion_cdmx.xls.1","09 Ciudad de México","Total","Total","Valor","8918653"
"01_poblacion_cdmx.xls.2","09 Ciudad de México","lvaro Obregon","Total","Valor","749982"
"01_poblacion_cdmx.xls.3","09 Ciudad de México","Azcapotzalco","Total","Valor","400161"
"01_poblacion_cdmx.xls.4","09 Ciudad de México","Benito Juarez","Total","Valor","417416"
"01_poblacion_cdmx.xls.5","09 Ciudad de México","Coyoacan","Total","Valor","608479"
"01_poblacion_cdmx.xls.6","09 Ciudad de México","Cuajimalpa de Morelos","Total","Valor","199224"
"01_poblacion_cdmx.xls.7","09 Ciudad de México","Cuauhtemoc","Total","Valor","532553"
"01_poblacion_cdmx.xls.8","09 Ciudad de México","Gustavo A. Madero","Total","Valor","1164477"
"01_poblacion_cdmx.xls.9","09 Ciudad de México","Iztacalco","Total","Valor","390348"
"01_poblacion_cdmx.xls.10","09 Ciudad de México","Iztapalapa","Total","Valor","1827868"
"01_poblacion_cdmx.xls.11","09 Ciudad de México","La Magdalena Contreras","Total","Valor","243886"
"01_poblacion_cdmx.xls.12","09 Ciudad de México","Miguel Hidalgo","Total","Valor","364439"
"01_poblacion_cdmx.xls.13","09 Ciudad de México","Milpa Alta","Total","Valor","137927"
"01_poblacion_cdmx.xls.14","09 Ciudad de México","Tlahuac","Total","Valor","361593"
"01_poblacion_cdmx.xls.15","09 Ciudad de México","Tlalpan","Total","Valor","677104"
"01_poblacion_cdmx.xls.16","09 Ciudad de México","Venustiano Carranza","Total","Valor","427263"
"01_poblacion_cdmx.xls.17","09 Ciudad de México","Xochimilco","Total","Valor","415933"
"01_poblacion_chih.xls.1","08 Chihuahua","Total","Total","Valor","3556574"
"01_poblacion_chih.xls.2","08 Chihuahua","Ahumada","Total","Valor","12568"
"01_poblacion_chih.xls.3","08 Chihuahua","Aldama","Total","Valor","24761"
"01_poblacion_chih.xls.4","08 Chihuahua","Allende","Total","Valor","8751"
"01_poblacion_chih.xls.5","08 Chihuahua","Aquiles Serdan","Total","Valor","15516"
"01_poblacion_chih.xls.6","08 Chihuahua","Ascension","Total","Valor","24966"
"01_poblacion_chih.xls.7","08 Chihuahua","Bachiniva","Total","Valor","6156"
"01_poblacion_chih.xls.8","08 Chihuahua","Balleza *","Total","Valor","16824"
"01_poblacion_chih.xls.9","08 Chihuahua","Batopilas *","Total","Valor","11289"
"01_poblacion_chih.xls.10","08 Chihuahua","Bocoyna","Total","Valor","27909"
"01_poblacion_chih.xls.11","08 Chihuahua","Buenaventura **","Total","Valor","23438"
"01_poblacion_chih.xls.12","08 Chihuahua","Camargo","Total","Valor","51572"
"01_poblacion_chih.xls.13","08 Chihuahua","Carichi **","Total","Valor","9211"
"01_poblacion_chih.xls.14","08 Chihuahua","Casas Grandes","Total","Valor","11432"
"01_poblacion_chih.xls.15","08 Chihuahua","Chihuahua","Total","Valor","878062"
"01_poblacion_chih.xls.16","08 Chihuahua","Chinipas *","Total","Valor","7501"
"01_poblacion_chih.xls.17","08 Chihuahua","Coronado *","Total","Valor","2096"
"01_poblacion_chih.xls.18","08 Chihuahua","Coyame del Sotol *","Total","Valor","1684"
"01_poblacion_chih.xls.19","08 Chihuahua","Cuauhtemoc","Total","Valor","168482"
"01_poblacion_chih.xls.20","08 Chihuahua","Cusihuiriachi","Total","Valor","4594"
"01_poblacion_chih.xls.21","08 Chihuahua","Delicias","Total","Valor","148045"
"01_poblacion_chih.xls.22","08 Chihuahua","Dr. Belisario Dominguez *","Total","Valor","2491"
"01_poblacion_chih.xls.23","08 Chihuahua","El Tule *","Total","Valor","1697"
"01_poblacion_chih.xls.24","08 Chihuahua","Galeana","Total","Valor","6021"
"01_poblacion_chih.xls.25","08 Chihuahua","Gomez Farias","Total","Valor","8905"
"01_poblacion_chih.xls.26","08 Chihuahua","Gran Morelos *","Total","Valor","2466"
"01_poblacion_chih.xls.27","08 Chihuahua","Guachochi *","Total","Valor","45544"
"01_poblacion_chih.xls.28","08 Chihuahua","Guadalupe","Total","Valor","5272"
"01_poblacion_chih.xls.29","08 Chihuahua","Guadalupe y Calvo *","Total","Valor","56130"
"01_poblacion_chih.xls.30","08 Chihuahua","Guazapares *","Total","Valor","7429"
"01_poblacion_chih.xls.31","08 Chihuahua","Guerrero","Total","Valor","39064"
"01_poblacion_chih.xls.32","08 Chihuahua","Hidalgo del Parral","Total","Valor","109510"
"01_poblacion_chih.xls.33","08 Chihuahua","Huejotitan *","Total","Valor","952"
"01_poblacion_chih.xls.34","08 Chihuahua","Ignacio Zaragoza","Total","Valor","6903"
"01_poblacion_chih.xls.35","08 Chihuahua","Janos","Total","Valor","10974"
"01_poblacion_chih.xls.36","08 Chihuahua","Jimenez","Total","Valor","42860"
"01_poblacion_chih.xls.37","08 Chihuahua","Juarez","Total","Valor","1391180"
"01_poblacion_chih.xls.38","08 Chihuahua","Julimes","Total","Valor","4448"
"01_poblacion_chih.xls.39","08 Chihuahua","La Cruz *","Total","Valor","3861"
"01_poblacion_chih.xls.40","08 Chihuahua","Lopez *","Total","Valor","4007"
"01_poblacion_chih.xls.41","08 Chihuahua","Madera","Total","Valor","29233"
"01_poblacion_chih.xls.42","08 Chihuahua","Maguarichi *","Total","Valor","1593"
"01_poblacion_chih.xls.43","08 Chihuahua","Manuel Benavides *","Total","Valor","1403"
"01_poblacion_chih.xls.44","08 Chihuahua","Matachi *","Total","Valor","2961"
"01_poblacion_chih.xls.45","08 Chihuahua","Matamoros *","Total","Valor","4371"
"01_poblacion_chih.xls.46","08 Chihuahua","Meoqui","Total","Valor","44752"
"01_poblacion_chih.xls.47","08 Chihuahua","Morelos *","Total","Valor","7797"
"01_poblacion_chih.xls.48","08 Chihuahua","Moris","Total","Valor","5141"
"01_poblacion_chih.xls.49","08 Chihuahua","Namiquipa","Total","Valor","23255"
"01_poblacion_chih.xls.50","08 Chihuahua","Nonoava *","Total","Valor","2574"
"01_poblacion_chih.xls.51","08 Chihuahua","Nuevo Casas Grandes","Total","Valor","63412"
"01_poblacion_chih.xls.52","08 Chihuahua","Ocampo","Total","Valor","7569"
"01_poblacion_chih.xls.53","08 Chihuahua","Ojinaga","Total","Valor","28040"
"01_poblacion_chih.xls.54","08 Chihuahua","Praxedis G. Guerrero","Total","Valor","5486"
"01_poblacion_chih.xls.55","08 Chihuahua","Riva Palacio","Total","Valor","7969"
"01_poblacion_chih.xls.56","08 Chihuahua","Rosales","Total","Valor","16896"
"01_poblacion_chih.xls.57","08 Chihuahua","Rosario *","Total","Valor","2018"
"01_poblacion_chih.xls.58","08 Chihuahua","San Francisco de Borja *","Total","Valor","2136"
"01_poblacion_chih.xls.59","08 Chihuahua","San Francisco de Conchos *","Total","Valor","2471"
"01_poblacion_chih.xls.60","08 Chihuahua","San Francisco del Oro","Total","Valor","5086"
"01_poblacion_chih.xls.61","08 Chihuahua","Santa Barbara","Total","Valor","10721"
"01_poblacion_chih.xls.62","08 Chihuahua","Santa Isabel **","Total","Valor","4099"
"01_poblacion_chih.xls.63","08 Chihuahua","Satevo *","Total","Valor","3159"
"01_poblacion_chih.xls.64","08 Chihuahua","Saucillo","Total","Valor","31196"
"01_poblacion_chih.xls.65","08 Chihuahua","Temosachic **","Total","Valor","6425"
"01_poblacion_chih.xls.66","08 Chihuahua","Urique **","Total","Valor","20947"
"01_poblacion_chih.xls.67","08 Chihuahua","Uruachi *","Total","Valor","6094"
"01_poblacion_chih.xls.68","08 Chihuahua","Valle de Zaragoza","Total","Valor","5199"
"01_poblacion_chis.xls.1","07 Chiapas","Total","Total","Valor","5217908"
"01_poblacion_chis.xls.2","07 Chiapas","Acacoyagua","Total","Valor","18082"
"01_poblacion_chis.xls.3","07 Chiapas","Acala","Total","Valor","31424"
"01_poblacion_chis.xls.4","07 Chiapas","Acapetahua","Total","Valor","28380"
"01_poblacion_chis.xls.5","07 Chiapas","Aldama *","Total","Valor","6712"
"01_poblacion_chis.xls.6","07 Chiapas","Altamirano *","Total","Valor","32872"
"01_poblacion_chis.xls.7","07 Chiapas","Amatan","Total","Valor","19348"
"01_poblacion_chis.xls.8","07 Chiapas","Amatenango de la Frontera","Total","Valor","30732"
"01_poblacion_chis.xls.9","07 Chiapas","Amatenango del Valle *","Total","Valor","9913"
"01_poblacion_chis.xls.10","07 Chiapas","Angel Albino Corzo","Total","Valor","28162"
"01_poblacion_chis.xls.11","07 Chiapas","Arriaga","Total","Valor","40114"
"01_poblacion_chis.xls.12","07 Chiapas","Bejucal de Ocampo","Total","Valor","7494"
"01_poblacion_chis.xls.13","07 Chiapas","Bella Vista","Total","Valor","20142"
"01_poblacion_chis.xls.14","07 Chiapas","Benemerito de las Americas","Total","Valor","20193"
"01_poblacion_chis.xls.15","07 Chiapas","Berriozabal","Total","Valor","51722"
"01_poblacion_chis.xls.16","07 Chiapas","Bochil","Total","Valor","34997"
"01_poblacion_chis.xls.17","07 Chiapas","Cacahoatan","Total","Valor","45594"
"01_poblacion_chis.xls.18","07 Chiapas","Catazaja","Total","Valor","17065"
"01_poblacion_chis.xls.19","07 Chiapas","Chalchihuitan *","Total","Valor","16803"
"01_poblacion_chis.xls.20","07 Chiapas","Chamula *","Total","Valor","87332"
"01_poblacion_chis.xls.21","07 Chiapas","Chanal *","Total","Valor","12181"
"01_poblacion_chis.xls.22","07 Chiapas","Chapultenango","Total","Valor","7644"
"01_poblacion_chis.xls.23","07 Chiapas","Chenalho *","Total","Valor","39648"
"01_poblacion_chis.xls.24","07 Chiapas","Chiapa de Corzo","Total","Valor","100751"
"01_poblacion_chis.xls.25","07 Chiapas","Chiapilla","Total","Valor","5899"
"01_poblacion_chis.xls.26","07 Chiapas","Chicoasen *","Total","Valor","5000"
"01_poblacion_chis.xls.27","07 Chiapas","Chicomuselo","Total","Valor","34744"
"01_poblacion_chis.xls.28","07 Chiapas","Chilon *","Total","Valor","127914"
"01_poblacion_chis.xls.29","07 Chiapas","Cintalapa","Total","Valor","84455"
"01_poblacion_chis.xls.30","07 Chiapas","Coapilla","Total","Valor","9210"
"01_poblacion_chis.xls.31","07 Chiapas","Comitan de Dominguez","Total","Valor","153448"
"01_poblacion_chis.xls.32","07 Chiapas","Copainala","Total","Valor","21800"
"01_poblacion_chis.xls.33","07 Chiapas","El Bosque *","Total","Valor","22606"
"01_poblacion_chis.xls.34","07 Chiapas","El Porvenir","Total","Valor","14121"
"01_poblacion_chis.xls.35","07 Chiapas","Escuintla","Total","Valor","31822"
"01_poblacion_chis.xls.36","07 Chiapas","Francisco Leon","Total","Valor","7430"
"01_poblacion_chis.xls.37","07 Chiapas","Frontera Comalapa","Total","Valor","73436"
"01_poblacion_chis.xls.38","07 Chiapas","Frontera Hidalgo","Total","Valor","14416"
"01_poblacion_chis.xls.39","07 Chiapas","Huehuetan","Total","Valor","35017"
"01_poblacion_chis.xls.40","07 Chiapas","Huitiupan","Total","Valor","23172"
"01_poblacion_chis.xls.41","07 Chiapas","Huixtan","Total","Valor","23625"
"01_poblacion_chis.xls.42","07 Chiapas","Huixtla","Total","Valor","54332"
"01_poblacion_chis.xls.43","07 Chiapas","Ixhuatan","Total","Valor","11342"
"01_poblacion_chis.xls.44","07 Chiapas","Ixtacomitan","Total","Valor","10772"
"01_poblacion_chis.xls.45","07 Chiapas","Ixtapa","Total","Valor","27198"
"01_poblacion_chis.xls.46","07 Chiapas","Ixtapangajoya *","Total","Valor","5384"
"01_poblacion_chis.xls.47","07 Chiapas","Jiquipilas","Total","Valor","39109"
"01_poblacion_chis.xls.48","07 Chiapas","Jitotol *","Total","Valor","20606"
"01_poblacion_chis.xls.49","07 Chiapas","Juarez","Total","Valor","21222"
"01_poblacion_chis.xls.50","07 Chiapas","La Concordia","Total","Valor","46405"
"01_poblacion_chis.xls.51","07 Chiapas","La Grandeza *","Total","Valor","7057"
"01_poblacion_chis.xls.52","07 Chiapas","La Independencia","Total","Valor","44891"
"01_poblacion_chis.xls.53","07 Chiapas","La Libertad","Total","Valor","4915"
"01_poblacion_chis.xls.54","07 Chiapas","La Trinitaria","Total","Valor","76917"
"01_poblacion_chis.xls.55","07 Chiapas","Larrainzar *","Total","Valor","23889"
"01_poblacion_chis.xls.56","07 Chiapas","Las Margaritas","Total","Valor","122821"
"01_poblacion_chis.xls.57","07 Chiapas","Las Rosas","Total","Valor","28261"
"01_poblacion_chis.xls.58","07 Chiapas","Mapastepec","Total","Valor","47932"
"01_poblacion_chis.xls.59","07 Chiapas","Maravilla Tenejapa *","Total","Valor","12945"
"01_poblacion_chis.xls.60","07 Chiapas","Marques de Comillas","Total","Valor","11444"
"01_poblacion_chis.xls.61","07 Chiapas","Mazapa de Madero","Total","Valor","7769"
"01_poblacion_chis.xls.62","07 Chiapas","Mazatan","Total","Valor","29239"
"01_poblacion_chis.xls.63","07 Chiapas","Metapa *","Total","Valor","5743"
"01_poblacion_chis.xls.64","07 Chiapas","Mitontic *","Total","Valor","11906"
"01_poblacion_chis.xls.65","07 Chiapas","Montecristo de Guerrero","Total","Valor","7682"
"01_poblacion_chis.xls.66","07 Chiapas","Motozintla","Total","Valor","72967"
"01_poblacion_chis.xls.67","07 Chiapas","Nicolas Ruiz *","Total","Valor","4262"
"01_poblacion_chis.xls.68","07 Chiapas","Ocosingo","Total","Valor","218893"
"01_poblacion_chis.xls.69","07 Chiapas","Ocotepec","Total","Valor","12508"
"01_poblacion_chis.xls.70","07 Chiapas","Ocozocoautla de Espinosa","Total","Valor","92103"
"01_poblacion_chis.xls.71","07 Chiapas","Ostuacan","Total","Valor","18128"
"01_poblacion_chis.xls.72","07 Chiapas","Osumacinta *","Total","Valor","3682"
"01_poblacion_chis.xls.73","07 Chiapas","Oxchuc","Total","Valor","48126"
"01_poblacion_chis.xls.74","07 Chiapas","Palenque","Total","Valor","119826"
"01_poblacion_chis.xls.75","07 Chiapas","Pantelho *","Total","Valor","22011"
"01_poblacion_chis.xls.76","07 Chiapas","Pantepec","Total","Valor","12136"
"01_poblacion_chis.xls.77","07 Chiapas","Pichucalco","Total","Valor","31107"
"01_poblacion_chis.xls.78","07 Chiapas","Pijijiapan","Total","Valor","53525"
"01_poblacion_chis.xls.79","07 Chiapas","Pueblo Nuevo Solistahuacan","Total","Valor","31942"
"01_poblacion_chis.xls.80","07 Chiapas","Rayon","Total","Valor","9578"
"01_poblacion_chis.xls.81","07 Chiapas","Reforma","Total","Valor","45104"
"01_poblacion_chis.xls.82","07 Chiapas","Sabanilla *","Total","Valor","26921"
"01_poblacion_chis.xls.83","07 Chiapas","Salto de Agua","Total","Valor","63446"
"01_poblacion_chis.xls.84","07 Chiapas","San Andres Duraznal *","Total","Valor","5163"
"01_poblacion_chis.xls.85","07 Chiapas","San Cristobal de las Casas","Total","Valor","209591"
"01_poblacion_chis.xls.86","07 Chiapas","San Fernando","Total","Valor","39204"
"01_poblacion_chis.xls.87","07 Chiapas","San Juan Cancuc *","Total","Valor","34829"
"01_poblacion_chis.xls.88","07 Chiapas","San Lucas","Total","Valor","7202"
"01_poblacion_chis.xls.89","07 Chiapas","Santiago el Pinar *","Total","Valor","3684"
"01_poblacion_chis.xls.90","07 Chiapas","Siltepec","Total","Valor","35192"
"01_poblacion_chis.xls.91","07 Chiapas","Simojovel *","Total","Valor","44295"
"01_poblacion_chis.xls.92","07 Chiapas","Sitala *","Total","Valor","13844"
"01_poblacion_chis.xls.93","07 Chiapas","Socoltenango","Total","Valor","18539"
"01_poblacion_chis.xls.94","07 Chiapas","Solosuchiapa","Total","Valor","8082"
"01_poblacion_chis.xls.95","07 Chiapas","Soyalo","Total","Valor","10707"
"01_poblacion_chis.xls.96","07 Chiapas","Suchiapa","Total","Valor","24049"
"01_poblacion_chis.xls.97","07 Chiapas","Suchiate","Total","Valor","38797"
"01_poblacion_chis.xls.98","07 Chiapas","Sunuapa *","Total","Valor","2283"
"01_poblacion_chis.xls.99","07 Chiapas","Tapachula","Total","Valor","348156"
"01_poblacion_chis.xls.100","07 Chiapas","Tapalapa *","Total","Valor","3839"
"01_poblacion_chis.xls.101","07 Chiapas","Tapilula","Total","Valor","12887"
"01_poblacion_chis.xls.102","07 Chiapas","Tecpatan","Total","Valor","41305"
"01_poblacion_chis.xls.103","07 Chiapas","Tenejapa *","Total","Valor","43593"
"01_poblacion_chis.xls.104","07 Chiapas","Teopisca","Total","Valor","43175"
"01_poblacion_chis.xls.105","07 Chiapas","Tila *","Total","Valor","77554"
"01_poblacion_chis.xls.106","07 Chiapas","Tonala","Total","Valor","89178"
"01_poblacion_chis.xls.107","07 Chiapas","Totolapa","Total","Valor","7284"
"01_poblacion_chis.xls.108","07 Chiapas","Tumbala *","Total","Valor","34305"
"01_poblacion_chis.xls.109","07 Chiapas","Tuxtla Chico","Total","Valor","41823"
"01_poblacion_chis.xls.110","07 Chiapas","Tuxtla Gutierrez","Total","Valor","598710"
"01_poblacion_chis.xls.111","07 Chiapas","Tuzantan","Total","Valor","31755"
"01_poblacion_chis.xls.112","07 Chiapas","Tzimol","Total","Valor","15316"
"01_poblacion_chis.xls.113","07 Chiapas","Union Juarez","Total","Valor","15350"
"01_poblacion_chis.xls.114","07 Chiapas","Venustiano Carranza","Total","Valor","65009"
"01_poblacion_chis.xls.115","07 Chiapas","Villa Comaltitlan","Total","Valor","28961"
"01_poblacion_chis.xls.116","07 Chiapas","Villa Corzo","Total","Valor","79003"
"01_poblacion_chis.xls.117","07 Chiapas","Villaflores","Total","Valor","104833"
"01_poblacion_chis.xls.118","07 Chiapas","Yajalon","Total","Valor","37833"
"01_poblacion_chis.xls.119","07 Chiapas","Zinacantan *","Total","Valor","41112"
"01_poblacion_coah.xls.1","05 Coahuila de Zaragoza","Total","Total","Valor","2954915"
"01_poblacion_coah.xls.2","05 Coahuila de Zaragoza","Abasolo *","Total","Valor","1015"
"01_poblacion_coah.xls.3","05 Coahuila de Zaragoza","Acuna","Total","Valor","147809"
"01_poblacion_coah.xls.4","05 Coahuila de Zaragoza","Allende","Total","Valor","22654"
"01_poblacion_coah.xls.5","05 Coahuila de Zaragoza","Arteaga","Total","Valor","23271"
"01_poblacion_coah.xls.6","05 Coahuila de Zaragoza","Candela *","Total","Valor","1720"
"01_poblacion_coah.xls.7","05 Coahuila de Zaragoza","Castanos","Total","Valor","28068"
"01_poblacion_coah.xls.8","05 Coahuila de Zaragoza","Cuatro Cienegas","Total","Valor","13546"
"01_poblacion_coah.xls.9","05 Coahuila de Zaragoza","Escobedo *","Total","Valor","3077"
"01_poblacion_coah.xls.10","05 Coahuila de Zaragoza","Francisco I. Madero","Total","Valor","58360"
"01_poblacion_coah.xls.11","05 Coahuila de Zaragoza","Frontera","Total","Valor","80991"
"01_poblacion_coah.xls.12","05 Coahuila de Zaragoza","General Cepeda","Total","Valor","12471"
"01_poblacion_coah.xls.13","05 Coahuila de Zaragoza","Guerrero *","Total","Valor","1697"
"01_poblacion_coah.xls.14","05 Coahuila de Zaragoza","Hidalgo *","Total","Valor","1565"
"01_poblacion_coah.xls.15","05 Coahuila de Zaragoza","Jimenez","Total","Valor","10243"
"01_poblacion_coah.xls.16","05 Coahuila de Zaragoza","Juarez *","Total","Valor","1574"
"01_poblacion_coah.xls.17","05 Coahuila de Zaragoza","Lamadrid *","Total","Valor","1773"
"01_poblacion_coah.xls.18","05 Coahuila de Zaragoza","Matamoros","Total","Valor","108950"
"01_poblacion_coah.xls.19","05 Coahuila de Zaragoza","Monclova","Total","Valor","231107"
"01_poblacion_coah.xls.20","05 Coahuila de Zaragoza","Morelos","Total","Valor","8599"
"01_poblacion_coah.xls.21","05 Coahuila de Zaragoza","Muzquiz","Total","Valor","69102"
"01_poblacion_coah.xls.22","05 Coahuila de Zaragoza","Nadadores","Total","Valor","6614"
"01_poblacion_coah.xls.23","05 Coahuila de Zaragoza","Nava","Total","Valor","30698"
"01_poblacion_coah.xls.24","05 Coahuila de Zaragoza","Ocampo","Total","Valor","11671"
"01_poblacion_coah.xls.25","05 Coahuila de Zaragoza","Parras","Total","Valor","44799"
"01_poblacion_coah.xls.26","05 Coahuila de Zaragoza","Piedras Negras","Total","Valor","163595"
"01_poblacion_coah.xls.27","05 Coahuila de Zaragoza","Progreso *","Total","Valor","3304"
"01_poblacion_coah.xls.28","05 Coahuila de Zaragoza","Ramos Arizpe","Total","Valor","92828"
"01_poblacion_coah.xls.29","05 Coahuila de Zaragoza","Sabinas","Total","Valor","63522"
"01_poblacion_coah.xls.30","05 Coahuila de Zaragoza","Sacramento *","Total","Valor","2360"
"01_poblacion_coah.xls.31","05 Coahuila de Zaragoza","Saltillo","Total","Valor","807537"
"01_poblacion_coah.xls.32","05 Coahuila de Zaragoza","San Buenaventura","Total","Valor","23587"
"01_poblacion_coah.xls.33","05 Coahuila de Zaragoza","San Juan de Sabinas","Total","Valor","43232"
"01_poblacion_coah.xls.34","05 Coahuila de Zaragoza","San Pedro","Total","Valor","106142"
"01_poblacion_coah.xls.35","05 Coahuila de Zaragoza","Sierra Mojada","Total","Valor","6988"
"01_poblacion_coah.xls.36","05 Coahuila de Zaragoza","Torreon","Total","Valor","679288"
"01_poblacion_coah.xls.37","05 Coahuila de Zaragoza","Viesca","Total","Valor","21549"
"01_poblacion_coah.xls.38","05 Coahuila de Zaragoza","Villa Union","Total","Valor","6352"
"01_poblacion_coah.xls.39","05 Coahuila de Zaragoza","Zaragoza","Total","Valor","13257"
"01_poblacion_col.xls.1","06 Colima","Total","Total","Valor","711235"
"01_poblacion_col.xls.2","06 Colima","Armeria","Total","Valor","29599"
"01_poblacion_col.xls.3","06 Colima","Colima","Total","Valor","150673"
"01_poblacion_col.xls.4","06 Colima","Comala","Total","Valor","21544"
"01_poblacion_col.xls.5","06 Colima","Coquimatlan","Total","Valor","20198"
"01_poblacion_col.xls.6","06 Colima","Cuauhtemoc","Total","Valor","30198"
"01_poblacion_col.xls.7","06 Colima","Ixtlahuacan","Total","Valor","5527"
"01_poblacion_col.xls.8","06 Colima","Manzanillo","Total","Valor","184541"
"01_poblacion_col.xls.9","06 Colima","Minatitlan","Total","Valor","8985"
"01_poblacion_col.xls.10","06 Colima","Tecoman","Total","Valor","123191"
"01_poblacion_col.xls.11","06 Colima","Villa de Alvarez","Total","Valor","136779"
"01_poblacion_dgo.xls.1","10 Durango","Total","Total","Valor","1754754"
"01_poblacion_dgo.xls.2","10 Durango","Canatlan","Total","Valor","32852"
"01_poblacion_dgo.xls.3","10 Durango","Canelas *","Total","Valor","4683"
"01_poblacion_dgo.xls.4","10 Durango","Coneto de Comonfort *","Total","Valor","4390"
"01_poblacion_dgo.xls.5","10 Durango","Cuencame","Total","Valor","35415"
"01_poblacion_dgo.xls.6","10 Durango","Durango","Total","Valor","654876"
"01_poblacion_dgo.xls.7","10 Durango","El Oro","Total","Valor","11496"
"01_poblacion_dgo.xls.8","10 Durango","General Simon Bolivar","Total","Valor","10110"
"01_poblacion_dgo.xls.9","10 Durango","Gomez Palacio","Total","Valor","342286"
"01_poblacion_dgo.xls.10","10 Durango","Guadalupe Victoria","Total","Valor","35380"
"01_poblacion_dgo.xls.11","10 Durango","Guanacevi","Total","Valor","9851"
"01_poblacion_dgo.xls.12","10 Durango","Hidalgo *","Total","Valor","3838"
"01_poblacion_dgo.xls.13","10 Durango","Inde","Total","Valor","4927"
"01_poblacion_dgo.xls.14","10 Durango","Lerdo","Total","Valor","153311"
"01_poblacion_dgo.xls.15","10 Durango","Mapimi","Total","Valor","26502"
"01_poblacion_dgo.xls.16","10 Durango","Mezquital *","Total","Valor","39288"
"01_poblacion_dgo.xls.17","10 Durango","Nazas","Total","Valor","12957"
"01_poblacion_dgo.xls.18","10 Durango","Nombre de Dios","Total","Valor","19694"
"01_poblacion_dgo.xls.19","10 Durango","Nuevo Ideal","Total","Valor","27278"
"01_poblacion_dgo.xls.20","10 Durango","Ocampo","Total","Valor","9567"
"01_poblacion_dgo.xls.21","10 Durango","Otaez *","Total","Valor","5385"
"01_poblacion_dgo.xls.22","10 Durango","Panuco de Coronado","Total","Valor","12290"
"01_poblacion_dgo.xls.23","10 Durango","Penon Blanco","Total","Valor","10922"
"01_poblacion_dgo.xls.24","10 Durango","Poanas","Total","Valor","25241"
"01_poblacion_dgo.xls.25","10 Durango","Pueblo Nuevo","Total","Valor","50417"
"01_poblacion_dgo.xls.26","10 Durango","Rodeo","Total","Valor","13554"
"01_poblacion_dgo.xls.27","10 Durango","San Bernardo *","Total","Valor","3205"
"01_poblacion_dgo.xls.28","10 Durango","San Dimas","Total","Valor","19383"
"01_poblacion_dgo.xls.29","10 Durango","San Juan de Guadalupe","Total","Valor","5564"
"01_poblacion_dgo.xls.30","10 Durango","San Juan del Rio","Total","Valor","12747"
"01_poblacion_dgo.xls.31","10 Durango","San Luis del Cordero *","Total","Valor","2077"
